Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,646,R_C3LShgOTnBjFLtT,Satisfied,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,I have not had a reason to contact me RHC or RA yet.,Disagree,Neutral,Neutral,Creating new clubs or organizations to help students connect with other students who may leave similar interests.,Yes,No,No,I was not able to because of my schedule.,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,Yes,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,4,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Granada,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,458,R_1Nh83QIaO5sqL5e,Satisfied,Did not answer,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,not needed,Satisfied,Neutral,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Unsure,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,I don't need to at this point and able to figure it out myself,Neutral,Neutral,Disagree,Not applicable,Yes,No,No,They were during times I couldn't go or had previous plans,Yes,Yes,No,No,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,No,0 Times,More than 10 Times,6-10 Times,1-5 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,NOT ENROLLED
October,653,R_Olp3LT7UIUKl2tX,Satisfied,Did not answer,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not open in toltec,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,Busy,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,No,0 Times,More than 10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Toltec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,Returning,M,Sophomore and Upper Div,ATTENDING
October,325,R_1kXfw30EUVPydLh,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,I just have no need for it since I can work fine on my own.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Neutral,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Did not answer,Agree,Neutral,Neutral,Did not answer,No,No,No,"I just didn't feel like it, or I was busy doing something else.",No,Yes,No,No,No,No,No,No,Yes,Yes,Did not answer,Did not answer,Yes,No,No,No,Yes,No,Yes,No,More than 10 Times,6-10 Times,6-10 Times,More than 10 Times,3,2,Yes,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza North,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,323,R_0P1ubNpcfDU5Smt,Satisfied,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,dont need it,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,dont need them,Agree,Agree,Agree,Did not answer,No,No,No,there are none,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,No,No,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,More than 10 Times,6-10 Times,5,4,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Villa Alvarado,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,86,R_2PzlvIlcHBisSc3,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,No,Yes,No,Yes,No,No,Not Applicable,No,No,No,We don't have one in our building,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Unsafe,More officers out at night,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Our CA doesn‚t really do much we don't really know him,Neutral,Neutral,Neutral,Did not answer,No,No,No,There have only been 1 floor event that I couldn‚t go to,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,No,No,No,No,No,No,No,No,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,4,5,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Piedra del Sol,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,116,R_3FPrm1Dul1Ik3Vh,Neutral,Did not answer,No,Not Applicable,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,Yes,No,There isn't one in my building.,Neutral,Satisfied,Unsatisfied,There are not enough washers and driers and they are constantly broken.,Safe,Neutral,Unsafe,Make sure safety systems are working properly.,No,"Other, please specify:",Can't find a good time.,Neither agree nor disagree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Did not answer,Disagree,Disagree,Disagree,Make campus more inclusive.,Yes,Yes,No,"I did, if I haven't, I was at work.",Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0 Times,More than 10 Times,More than 10 Times,More than 10 Times,3,3,Did not answer,Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Villa Alvarado,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,257,R_XyPY27WKF89cDXH,Satisfied,Did not answer,Did not answer,Not Applicable,Yes,Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,No,Not in my housing,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,Yes,No,Not home,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-5 Times,6-10 Times,1-5 Times,1-5 Times,4,3,Did not answer,Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zacatepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,89,R_1rP1HQ847KUJYpB,Satisfied,Did not answer,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,there is not a star center in my building,Satisfied,Neutral,Neutral,Did not answer,Neutral,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,we dont have events,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,No,Yes,No,No,Yes,No,Yes,No,1-5 Times,More than 10 Times,1-5 Times,6-10 Times,4,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Huaxtepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,142,R_1QLRiF1JHNocw1B,Neutral,Did not answer,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,Not Applicable,Not Applicable,Yes,No,It's in Chappy and I don't feel like walking there,Unsatisfied,Neutral,Neutral,"There was a literal 2 month period where the washer was out in huaxtepec and it sat with dirty smelly water before it was fixed the first time, and then it happened the second time and was again left flooded with disgusting water that smelled like sewage.  The laundry machines that actually work are always leaking and smell like sewage as well.",Neutral,Neutral,Unsafe,You can tell the homeless people that they can't sleep on the storm hall terraces because it's not very nice when I'm trying to walk around campus at night or early in the morning and I see them waking up under a random blanket.,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Did not answer,Agree,Neutral,Neutral,Did not answer,No,No,No,They don't have that many and when they have them they're at inconvenient times.,Yes,No,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,No,No,No,No,No,No,Yes,0 Times,More than 10 Times,More than 10 Times,1-5 Times,4,4,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxtepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,Continuing,F,Sophomore and Upper Div,NOT ENROLLED
October,521,R_SYH6P1eoRzLc785,Unsatisfied,"No kitchen, elevators constantly not working and always take too long due to crowding and lack of people using the stairs, also the back door can‚t be used to enter the building so you always have to walk to the front",No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Nothing I need in them,Neutral,Neutral,Unsatisfied,Elevators are not working and several washing machines are also out of order,Neutral,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Neither agree nor disagree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,haven't had any conflicts or need yet and I talk to my CA casually from time to time anyways,Neutral,Agree,Disagree,Not applicable,Yes,No,No,Nothing caught my interest,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,6-10 Times,More than 10 Times,1-5 Times,3,1,I will not receive any assistance as they don't go on an individual need basis it's based on my parents and financial aide or lack thereof,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza South,OR,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,First Year,ATTENDING
October,247,R_1o7uwHPGriVyzC8,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,Not Applicable,Yes,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,i study in my room,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,don't need to yet,Neutral,Agree,Agree,Did not answer,Yes,Yes,No,i did participate in it!,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,No,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,4,4,Did not answer,Poor,"no, don't need it yet",Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,932,R_3hDO7hTEDLyqNDQ,Satisfied,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I don't feel the need to.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,I didn't want to.,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,No,1-5 Times,0 Times,More than 10 Times,More than 10 Times,3,3,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,970,R_3Rz9EtXBNef0lmI,Satisfied,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"I don't know where they are other than in freshman dorms, and I don't really feel the need to",Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Unsafe,Better lights and make the red and black shuttle work,Unsure,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,I don't have any issues serious enough,Neutral,Agree,Neutral,Did not answer,No,No,No,I was never around for them,No,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,No,No,No,No,No,No,Yes,No,0 Times,More than 10 Times,More than 10 Times,More than 10 Times,2,2,I haven't because I didn't know we have that,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Villa Alvarado,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,F,Sophomore and Upper Div,ATTENDING
October,651,R_25TN6tp0IG07ESJ,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,No,Yes,No,Yes,No,No,Not Applicable,Not Applicable,No,No,No need,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,Busy with studies during times of events,No,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,0 Times,More than 10 Times,6-10 Times,More than 10 Times,4,5,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zacatepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,64,R_3MSUTXfM2wZS6fI,Neutral,Did not answer,No,No,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,No,No,I haven't needed it,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Because I haven't needed to,Agree,Agree,Agree,Did not answer,No,No,No,I am too busy.,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,No,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,678,R_bPbtbLa2kdHKtXz,Neutral,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I don't need help with my homework,Satisfied,Satisfied,Unsatisfied,Laundry dryers have broken multiple times,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Did not answer,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,No,No,No,Busy,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,Yes,Yes,Yes,1-5 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,South Campus Plaza South,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,First Year,ATTENDING
October,183,R_1kSL7YMhyHPyYgU,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,Not Applicable,Yes,Yes,Yes,No,Not Applicable,Not Applicable,Not Applicable,No,No,Feel like I don't need it,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Because us roomates usually talk it out,Agree,Agree,Agree,Did not answer,Not Applicable,Not Applicable,Not Applicable,Did not answer,No,Yes,No,No,No,No,No,Yes,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,0 Times,More than 10 Times,1-5 Times,6-10 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
